lambda_nm,lambda_nm_err,R_A_per_W,R_err,EQE,EQE_percent,EQE_err
1085.6,0.5,0.1305098039352167,8.897258203163583e-05,0.14907162571819152,14.907162571819152,0.0001016267517678965
1090.7,0.5,0.1149473683847534,7.894525744263829e-05,0.13068188942614303,13.068188942614304,8.975164502509532e-05
1095.8,0.5,0.1005562913854009,6.959893646524966e-05,0.11378883128116182,11.378883128116183,7.875769412019492e-05
1100.9,0.5,0.088053333352118,6.144275059822413e-05,0.09917897479936988,9.917897479936988,6.920611385393579e-05
1106.0,0.5,0.0781744966275061,5.500936641766065e-05,0.0876459094196271,8.76459094196271,6.167415403065029e-05
1111.1,0.5,0.067600000003654,4.801964049629233e-05,0.07544235442762215,7.544235442762215,5.359045469840923e-05
1116.2,0.5,0.0570613333455064,4.016546343420573e-05,0.06339012125822248,6.339012125822248,4.4620296235813565e-05
1121.3,0.5,0.0492931506795295,3.5828187612040585e-05,0.05451128765059894,5.451128765059894,3.96209334156161e-05
1126.4,0.5,0.042755555543679,3.1712361882763004e-05,0.04706755049197617,4.706755049197617,3.491062565218939e-05
1131.5,0.5,0.0352727272727272,2.666389804173685e-05,0.03865504358655035,3.865504358655035,2.922071018272531e-05
1136.6,0.5,0.029090909090909,2.2372131326530426e-05,0.031737398621086724,3.1737398621086723,2.4407392965773123e-05
1141.7,0.5,0.023490909090909,1.856786966127079e-05,0.025513468750746393,2.551346875074639,2.016655722166574e-05
1146.8,0.5,0.0191887323997714,1.5847623885111876e-05,0.02074819338656831,2.074819338656831,1.713555425317294e-05
1151.9,0.5,0.0142628571444871,1.2939989197848734e-05,0.015353713741786615,1.5353713741786614,1.3929669767629505e-05
1157.0,0.5,0.0103251798525495,1.0754581449281754e-05,0.011065879876543977,1.1065879876543976,1.1526085563620897e-05
1162.1,0.5,0.0067600000019042,8.84038530591208e-06,0.0072131486123063505,0.721314861230635,9.432990086335927e-06
1167.2,0.5,0.0039965714290281,7.999870726126472e-06,0.00424584353323753,0.424584353323753,8.498834561683367e-06
1172.3,0.5,0.0017160000001961,7.537150843294881e-06,0.0018150985244759568,0.18150985244759568,7.972419214949803e-06
