E_ph_eV,Y_tauc,Y_tauc_err,in_fit_region
1.713890808569454,1.0340316725245584,0.0005791899837898245,False
1.690064058879651,1.0411518506361346,0.0005929187096670984,False
1.6668907111170856,1.0453798357599866,0.0006064611863136364,False
1.6443442514255404,1.0357290188482686,0.0006055941171766996,False
1.622399581316237,1.0344568514171573,0.0005947888758345534,False
1.6010329244673984,1.0358044284455246,0.0005539064924779717,False
1.5802217407926595,1.0364397428396046,0.0005909464505888976,False
1.5599446471254246,1.026059446630948,0.0006236701596596624,False
1.5401813439324308,1.0223395562935387,0.0006539947638290538,False
1.5209125475285172,1.0118101803279482,0.0006619612787928024,False
1.5021199273167778,1.0079579833697632,0.000669410035289582,False
1.4837860476247458,1.0257510305070723,0.0007053697721681496,False
1.4658943137486702,0.9978614877305685,0.000647710054758305,False
1.4484289218549236,1.0039553748053018,0.0006388233077878675,False
1.4313748124206396,1.0049399751532266,0.0006168760402817518,False
1.414717626925271,1.0040372440547287,0.0005866155544036438,False
1.3984436675312957,0.9945856633427442,0.000547520084774702,False
1.3825398595161111,0.9793614149440436,0.0005046773513196844,False
1.3669937162385624,0.9849642691519555,0.0004915726988982413,False
1.3593510195132645,0.9787091338291733,0.0004796781642243594,False
1.3517933064428214,0.9859754643290083,0.0004772915911554181,False
1.344319167389419,0.9665883917356819,0.0004487078799798465,False
1.3369272237196765,0.9809374423565068,0.0004589455901395202,False
1.3296161269568947,0.9730755451887659,0.0004457786449086912,False
1.3223845579609683,0.9689073579784029,0.0004389350171775896,False
1.3152312261349173,0.9790935214079929,0.00044687651172548005,False
1.3081548686570315,0.9685353432686283,0.000433146389848974,False
1.3011542497376705,0.9630131027175692,0.00042603083909267163,False
1.2942281598998016,0.9645032063151786,0.0004240082657529557,False
1.287375415282392,0.961001877556743,0.00039673578901622616,False
1.2805948569658165,0.9558616479891119,0.00035388732839820814,False
1.2738853503184713,0.9521623527853951,0.00031886641581205005,False
1.267245784363822,0.9473083684452696,0.00030393155101065725,False
1.260675071167141,0.9441983997442134,0.00030817189274152625,False
1.2541721452412258,0.9397222642130654,0.0003212892694988731,False
1.2477359629704166,0.9213351279811692,0.0003283667148431812,False
1.2413655020522576,0.9099584524251564,0.000335593154089759,False
1.2350597609561753,0.8939960452024426,0.00033676458592571493,False
1.2288177583985729,0.8835921345768583,0.00034073205657150443,False
1.2226385328337606,0.8650987679712918,0.00033749866473900206,False
1.2165211419601687,0.8408865128497269,0.0003297310920632785,False
1.2104646622413118,0.8153914092444915,0.0003214438248585091,False
1.2044681884409907,0.7890476770401289,0.0003127956683263522,False
1.1985308331722406,0.7581561047837777,0.0003023015929146891,False
1.1926517264595555,0.7223878469268953,0.00028865381110477415,False
1.1868300153139357,0.6863830420980094,0.00027487923615674315,False
1.181064863320316,0.6493171956086001,0.00026170041641590617,False
1.1753554502369667,0.6139356502476746,0.00024505551865661125,True
1.1697009716064524,0.5678119001371357,0.00023003413431276463,True
1.1641006383777694,0.531767195690342,0.00021788891903203698,True
1.158553676539288,0.4960630476671574,0.00020211206751995968,True
1.153059326762135,0.4742612114856447,0.0001981939557714822,True
1.147616844053679,0.43830870772530894,0.00017969897293548643,True
1.1422254974207813,0.41264198991048623,0.0001697466825245057,True
1.1368845695424956,0.3854480815975618,0.0001591388495161138,True
1.1315933564519074,0.35883517876065285,0.00014873868411735918,True
1.1263511672268143,0.33423098903247894,0.0001391365728634817,True
1.1211573236889694,0.3134722527388907,0.0001310911141107174,True
1.1160111601116012,0.29016290163685843,0.00012199795271380725,True
1.1109120229349578,0.2653692669490275,0.0001107048537117667,True
1.1058592704896104,0.24552354835074508,0.00010468143780530561,True
1.1008522727272727,0.22762781009972755,9.838016855581792e-05,True
1.095890410958904,0.20581956078492397,9.010960568703305e-05,True
1.0909730775998594,0.1860769933351797,8.242943589630837e-05,True
1.0860996759218708,0.16646372019701,7.521188830236016e-05,True
1.0812696198116498,0.1497811442567899,6.99404578492717e-05,True
1.076482333535897,0.128561275651732,6.464973553503525e-05,True
1.0717372515125325,0.10890232175879026,6.140344724336935e-05,True
1.0670338180879444,0.08773068735753188,6.038982030892376e-05,True
1.0623714873200822,0.06716147042266055,6.874003670762617e-05,True
1.05774972276721,0.043816891275621266,9.668062691376556e-05,True
